10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
0.962,0.802,1.143,1.562,2.054,2.825,4.018,4.569,4.87,5.932,6.532,7.333,11.261,8.286,9.548,10.069,10.64,11.572,12.433,13.856,14.187,14.668,15.51,16.732,17.092,19.737,19.667,20.298,21.691,22.242,22.202,26.19,26.14,25.469,26.711,27.402,27.983,28.935,33.775,32.592,32.382,32.813,33.363,34.796,38.023,38.483,37.451,41.189,40.597,42.752,39.776,46.668,44.915,43.713,46.329,47.059,47.451,51.588,50.877,49.444,53.521,52.17,52.269,66.256,56.898,59.283,62.91,59.604,59.073,61.667,66.777,63.441,62.559,67.188,65.375,66.777,80.213,75.484,73.079,75.524,73.98,73.89,76.806,78.198,78.379,75.504,83.969,81.485,84.04,88.167,92.806,85.683,88.017,86.765,91.965,100.431,90.212,91.204,87.717,94.129
0.401,0.721,1.132,1.854,2.415,2.715,3.717,3.877,4.939,5.831,5.981,7.184,10.89,8.045,8.857,10.35,11.181,11.903,11.873,13.656,14.869,13.817,15.96,17.043,16.642,19.357,20.579,20.519,21.501,21,22.453,26.47,24.927,25.589,25.348,27.563,26.751,28.194,35.738,31.47,32.612,32.03,33.213,35.007,37.622,36.95,38.474,40.086,39.025,40.187,40.598,45.106,46.499,45.897,44.865,45.616,48.042,49.505,49.554,50.376,52.75,53.371,52.701,65.284,63.321,59.854,59.182,59.092,61.827,61.197,63.741,61.858,62.749,63.521,65.163,66.226,80.172,76.706,75.504,75.734,70.504,77.538,73.259,81.596,77.427,74.311,80.262,77.918,82.006,88.228,86.615,88.599,83.468,92.526,88.267,94.55,89.53,90.762,92.836,92.947
0.37,0.621,1.223,1.753,2.515,2.625,3.527,4.268,4.679,5.059,6.312,6.974,8.817,8.175,9.388,10.44,10.901,11.231,12.744,13.856,14.357,13.797,15.539,17.133,17.814,19.056,19.858,21.171,21.941,21.461,22.272,25.548,24.106,25.458,26.871,27.943,28.725,30.017,32.662,33.373,33.253,32.932,32.522,36.079,40.367,37.12,38.052,39.636,39.084,41.879,40.487,46.048,45.897,46.759,46.028,47.481,44.624,47.671,49.755,56.498,52.429,53.031,53.401,66.767,60.034,58.361,56.888,65.154,60.325,63.06,63.421,64.603,63.351,69.993,65.545,69.562,83.238,72.849,73.139,76.075,73.46,74.221,73.389,80.724,76.265,76.366,78.499,81.655,80.553,86.034,81.956,85.293,86.385,85.553,91.834,96.434,90.732,92.917,95.512,98.236
0.281,0.621,1.202,1.863,2.294,2.706,3.497,4.558,4.879,5.571,6.212,6.713,8.767,8.216,9.097,10.78,11.472,11.612,11.442,13.926,14.217,15.259,15.218,16.772,17.634,20.268,19.276,20.549,20.569,20.509,21.762,29.045,25.889,25.078,25.408,27.703,28.074,33.825,32.913,32.322,30.769,32.592,32.943,37.191,39.516,42.29,37.582,39.686,40.827,39.936,49.825,44.565,50.526,44.484,46.648,48.613,47.491,51.277,48.673,52.099,53.351,51.047,52.63,62.779,59.373,58.772,58.17,60.685,60.885,60.364,63.531,65.395,65.234,64.793,66.757,69.872,79.301,73.41,72.307,74.461,76.616,73.46,75.704,75.925,76.615,77.848,79.551,84.421,82.788,86.975,83.79,85.202,88.488,90.242,84.881,94.35,91.544,90.402,90.603,93.147
0.311,0.752,1.252,1.723,2.245,2.756,3.226,4.439,5.009,5.581,5.902,6.903,8.496,8.136,8.847,10.25,10.991,11.713,11.762,14.067,14.187,14.106,15.67,17.313,16.802,19.417,20.319,20.148,21.842,21.671,21.621,25.008,24.557,24.807,27.212,26.601,30.167,30.448,32.672,32.211,31.701,33.754,32.261,34.396,38.353,36.87,38.654,39.726,39.896,39.065,41.508,44.024,50.226,45.376,45.035,47.41,45.376,49.845,50.175,51.277,53.081,51.348,54.013,61.587,57.66,57.83,57.86,61.767,61.256,60.856,66.095,62.729,61.517,64.012,67.758,68.33,84.05,74.111,73.399,76.215,74.853,75.914,71.917,74.892,75.123,76.486,78.409,83.549,88.338,88.879,85.693,87.307,88.879,88.528,91.675,96.684,91.524,92.666,88.709,96.152
0.21,0.742,1.223,1.723,2.415,2.745,3.396,4.679,4.478,5.551,6.162,6.833,8.466,8.176,9.739,11.612,11.421,11.161,12.184,12.534,13.756,14.748,16.131,17.694,16.551,19.327,19.517,20.379,21.992,21.16,23.003,26.71,24.436,24.827,26.26,27.813,28.714,28.234,32.572,32.292,34.696,34.196,33.153,34.265,37.641,37.06,37.1,39.165,40.056,40.507,41.078,44.735,48.963,46.098,45.266,47.791,48.302,50.016,49.815,50.646,53.071,51.798,54.163,61.567,58.872,56.387,57.539,58.692,61.076,62.689,63.42,65.895,63.391,68.67,63.661,67.068,86.074,75.323,73.75,78.179,75.414,71.806,78.87,78.73,78.329,78.82,80.243,85.483,81.976,84.501,84.039,86.664,88.428,85.262,86.995,96.965,90.301,91.995,97.465,95.812
0.26,0.721,1.142,1.533,2.164,2.564,3.177,4.689,5.04,5.932,6.262,6.182,7.975,8.747,9.398,11.722,10.811,11.833,12.173,13.576,13.315,13.906,16.462,21.281,17.303,19.336,19.517,19.307,21.511,28.484,22.623,26.63,25.388,25.849,26.721,34.235,29.827,27.773,33.835,31.68,32.401,33.263,32.482,33.003,40.436,36.059,38.663,40.918,39.255,39.736,39.034,44.294,47.881,45.095,46.008,46.599,47.881,49.184,48.903,49.153,53.091,51.958,53.172,61.567,57.359,58.1,58.171,61.447,60.345,59.573,63.18,65.404,61.718,68.6,66.046,69.072,81.795,72.898,72.828,73.981,73.94,73.831,72.918,78.499,75.905,76.135,77.628,80.634,83.298,84.841,84.481,83.74,88.178,88.409,87.526,93.207,94.159,89.911,89.451,94.971
0.371,1.724,1.032,1.623,2.364,2.835,3.436,4.299,4.679,5.951,5.44,6.803,8.837,8.166,8.696,11.402,11.252,11.472,11.912,13.356,13.676,13.957,16.432,15.77,17.534,18.565,23.955,20.269,20.87,21.892,22.623,26.491,25.508,26.32,26.03,26.661,29.787,29.326,31.941,31.64,32.742,37.952,33.775,35.167,38.844,37.452,37.691,42.732,39.255,40.126,41.85,46.348,46.028,48.392,46.869,46.759,48.282,51.958,49.163,48.863,51.268,50.707,54.904,63.862,58.111,56.627,58.311,60.946,60.335,59.453,62.94,65.204,64.172,64.453,63.801,69.382,83.239,74.512,71.616,75.704,74.892,73.38,74.471,75.955,76.796,76.606,80.403,84.25,79.572,88.608,85.873,86.464,85.793,90.102,88.598,91.394,89.891,89.661,90.022,94.991
0.261,1.082,1.132,1.503,2.395,2.705,3.366,4.599,5.06,6.192,5.851,7.334,8.276,8.847,9.027,11.191,10.39,11.872,11.752,13.966,14.247,14.467,16.341,17.123,17.824,20.148,19.407,21.3,21.431,21.231,22.573,27.012,24.888,25.047,25.598,27.061,30.738,29.977,32.833,32.642,31.91,33.413,32.852,34.856,38.914,36.86,37.18,39.264,38.574,39.004,41.459,46.118,44.785,44.775,45.557,47.631,48.833,54.043,49.986,52.35,52.82,51.699,52.009,63.07,59.263,57.359,59.823,58.571,61.557,60.335,64.192,65.845,65.705,66.426,69.512,68.12,80.974,73.67,75.433,76.115,73.21,71.746,76.806,77.788,76.957,77.788,77.458,83.76,82.697,89.82,85.703,84.291,86.705,84.25,92.847,96.984,92.486,91.193,94.399,97.666
