10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
0.27,0.43,0.521,0.931,1.393,2.615,2.305,2.705,3.406,4.178,7.354,5.67,6.833,8.226,8.807,10.691,11.813,12.063,13.626,14.348,15.67,18.505,19.607,21.792,24.898,28.445,26.17,28.935,32.792,30.047,37.12,38.413,38.513,43.724,44.134,47.911,48.683,51.748,55.515,61.477,61.276,61.307,64.403,70.634,73.55,74.411,78.77,81.846,86.354,91.193,90.582,100.952,105.24,102.184,108.657,107.975,114.017,117.704,128.505,131.34,127.112,139.465,134.556,143.884,145.757,149.414,160.385,168.24,171.005,168.109,175.924,179.792,192.146,193.559,191.514,194.83,207.636,219.798,206.303,231.952,227.403,237.452,250.627,254.584,254.424,257.7,260.715,257.5,279.101,285.112,286.986,299.45,302.406,306.102,300.021,329.777,329.036,331.451,322.623,350.437
0.261,0.411,0.581,0.762,1.343,1.873,2.154,2.806,3.667,4.288,7.665,6.432,7.034,7.825,9.338,10.429,11.412,12.534,12.835,16.241,15.91,18.325,18.044,22.062,24.456,24.788,25.458,29.486,32.141,35.017,36.079,38.293,39.114,40.427,46.578,47.4,48.252,52.48,51.608,55.325,62.008,64.062,62.83,67.488,72.247,78.419,76.095,80.393,84.651,87.487,97.496,96.334,100.762,104.649,113.886,107.424,114.848,122.813,121.812,126.461,131.42,143.362,138.794,147.35,149.956,157.8,159.634,172.298,165.916,179.832,179.572,184.291,184.732,196.584,189.631,215.76,197.466,213.506,213.236,222.574,225.228,233.554,236.059,236.159,254.173,258.942,257.309,258.121,272.338,275.714,285.473,301.514,311.262,316.472,324.177,324.938,315.209,333.013,339.576,345.207
0.17,0.411,0.602,0.932,1.272,2.034,2.365,2.995,3.627,4.369,14.438,5.22,7.303,7.584,8.486,10.45,11.131,12.033,13.606,14.638,16.201,18.626,19.487,22.252,22.182,24.877,27.873,31.701,30.558,33.654,37.371,40.287,41.078,43.904,43.472,49.655,48.742,52.981,54.935,59.273,56.408,62.699,61.347,67.409,70.034,71.225,78.409,84.952,85.563,87.687,91.584,95.041,99.489,100.752,105.07,114.888,113.586,114.388,121.541,124.237,130.548,132.963,139.034,148.883,149.214,159.784,161.247,159.814,166.507,169.513,168.971,171.396,182.287,183.289,191.654,195.883,207.215,209.559,210.421,221.932,231.631,236.079,242.13,245.718,240.848,255.837,273.911,264.112,276.786,279.942,277.848,314.628,298.237,329.046,305.451,325.058,336.46,333.735,340.337,358.001
0.16,0.37,0.641,0.892,1.293,1.784,2.304,3.196,3.807,4.599,5.039,5.611,6.713,12.173,9.738,10.33,11.322,11.722,14.668,15.159,16.091,17.213,19.357,20.219,22.984,25.389,26.591,28.965,29.707,34.316,34.676,37.622,38.343,41.959,47.07,48.683,50.516,51.108,53.963,59.534,59.653,65.825,69.142,67.508,71.306,73.009,74.411,87.086,92.135,90.823,92.466,93.367,95.743,102.946,104.478,106.743,117.152,115.781,114.989,123.234,128.745,132.051,141.059,145.908,151.118,150.687,157.9,157.73,168.51,175.023,170.004,177.057,188.228,195.582,196.123,207.815,214.868,210.13,224.167,228.855,213.175,233.254,237.081,248.032,245.046,251.398,262.94,265.665,272.709,267.098,291.895,292.066,288.339,302.185,316.832,301.974,337.733,333.414,331.481,357.179
0.2,0.351,0.551,0.962,1.222,1.613,2.254,2.886,4.017,4.228,4.759,6.372,6.713,7.885,9.308,10.67,11.742,12.283,13.125,15.119,16.291,16.672,19.968,22.262,23.435,23.755,26.771,32.031,31.299,32.292,34.075,36.72,41.439,42.341,44.816,47.61,50.977,51.067,52.369,60.546,60.455,62.289,67.168,67.819,68.921,80.743,77.678,78.98,89.6,86.365,90.823,96.804,99.7,109.147,102.134,109.298,109.539,120.239,120.87,132.582,130.458,141.169,142.341,142.661,145.096,147.471,158.121,158.01,169.523,173.81,169.522,178.57,177.928,186.365,197.085,203.477,202.766,218.636,221.913,226.03,214.849,235.248,242.01,242.03,255.015,261.617,264.744,274.723,280.263,291.294,289.16,300.502,304.008,309.97,321.07,320.008,308.607,333.474,347.831,344.535
0.17,0.351,0.661,0.932,1.262,1.693,2.515,2.705,3.777,4.147,5.341,5.741,6.743,8.416,9.478,10.059,11.031,11.542,13.896,15.459,15.87,18.055,20.279,20.659,23.725,25.628,27.663,28.564,30.778,31.801,35.327,36.82,36.359,40.988,43.403,44.815,52.229,51.238,55.486,57.439,60.135,65.004,68.36,68.971,71.376,74.783,80.312,77.567,88.227,87.146,90.682,97.706,98.036,103.577,105.921,109.358,111.071,119.677,118.375,125.619,131.01,131.65,146.078,141.87,143.593,159.233,143.533,164.352,162.729,169.192,172.398,182.116,180.473,185.553,205.672,191.244,203.578,221.311,226.802,223.325,228.024,231.771,239.536,238.974,245.026,253.011,259.163,270.574,265.846,284.09,299.851,296.334,301.844,314.198,322.032,320.51,344.786,331.661,332.392,350.587
0.18,0.351,0.601,0.942,1.403,1.803,2.294,2.695,3.447,4.348,5.049,5.811,6.332,7.645,8.836,10.23,11.923,12.594,12.874,15.559,18.666,18.646,20.75,21.411,21.882,24.957,27.082,30.017,32.171,33.654,36.95,36.399,37.621,41.599,41.118,46.318,51.288,51.508,53.832,57.189,59.714,62.859,66.056,67.549,69.682,78.8,77.508,83.248,89.02,83.489,88.779,95.742,98.097,104.94,108.256,111.983,111.092,123.435,118.174,130.459,127.793,138.623,141.199,138.764,146.619,156.087,153.522,166.056,163.311,171.526,168.1,169.762,183.308,192.917,191.424,200.141,198.167,215.23,213.326,231.02,223.024,228.094,242.291,247.491,255.606,260.585,256.138,261.497,266.267,281.986,287.997,288.138,296.063,302.486,302.656,323.745,327.103,338.444,325.95,344.024
0.15,0.421,0.601,0.952,1.313,1.924,2.375,3.126,3.818,4.448,5.24,6.713,6.963,8.547,9.438,9.929,12.043,12.474,13.285,15.369,16.531,18.065,19.937,20.749,24.497,24.757,27.994,30.608,33.033,31.881,36.018,37.992,38.904,39.405,44.054,46.859,46.398,49.193,55.836,54.894,59.714,62.289,64.002,67.989,72.268,78.86,81.555,83.028,86.424,92.987,90.282,96.313,94.57,102.876,111.372,110.521,109.929,115.62,119.838,123.204,139.275,133.054,139.916,139.165,147.501,156.799,157.279,158.231,164.563,171.556,182.307,182.667,180.364,195.883,197.586,202.114,200.151,213.486,215.66,224.497,219.878,224.777,241.139,245.417,248.973,243.062,262.75,260.786,281.776,285.163,282.948,298.818,305.892,305.451,314.057,311.212,328.084,323.064,339.005,345.568
0.13,0.4,0.581,0.872,1.393,1.583,2.184,2.825,3.948,4.138,4.95,5.36,7.254,8.145,9.188,10.399,10.761,13.085,13.386,15.58,17.113,17.994,20.309,21.511,31.35,24.326,27.853,30.057,29.546,32.693,36.018,37.522,41.619,40.547,45.096,45.958,52.2,51.668,54.103,64.683,58.652,63.591,68.881,69.231,69.442,75.043,78.219,86.815,81.084,86.595,97.185,95.833,106.873,103.246,107.214,112.214,115.59,118.416,125.178,136.129,127.943,130.849,130.208,142.35,154.453,146.378,160.566,161.046,172.738,172.368,179.181,179.923,189.41,197.896,199.74,202.094,200.492,207.003,216.743,221.581,223.565,233.394,233.224,239.957,251.689,251.649,245.236,272.648,280.344,288.328,292.225,288.208,308.397,302.215,307.414,309.118,318.456,338.053,341.97,335.368
