10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
0.852,1.162,2.004,2.986,3.777,4.188,5.31,5.801,6.642,7.454,8.306,9.178,9.639,10.901,11.803,12.233,13.526,13.936,15.199,16.11,16.902,17.414,18.365,19.316,20.248,21.221,33.264,22.824,28.535,25.078,25.679,25.669,31.42,28.184,29.576,29.887,32.672,31.831,32.983,34.075,35.017,35.999,37.121,37.542,39.054,38.944,41.589,41.198,42.311,43.863,48.522,44.916,47.12,48.171,49.384,50.697,50.426,51.057,52.109,52.37,55.516,55.435,55.926,56.197,58.431,64.042,59.674,60.595,63.962,62.119,63.491,67.589,65.815,66.537,66.036,67.989,69.983,73.149,72.498,80.013,75.273,76.155,75.604,78.379,79.131,79.361,79.431,80.022,82.086,81.304,83.93,85.212,92.607,86.635,86.335,92.266,89.621,91.854,90.963,90.873
0.662,1.102,1.884,2.696,3.457,4.018,5.1,5.521,6.372,7.344,8.146,8.917,9.618,10.52,11.371,12.133,12.894,13.907,14.648,15.83,16.311,17.413,18.115,19.066,19.267,25.439,22.283,22.703,28.494,24.287,25.138,26.19,27.132,28.575,28.804,29.536,31.4,31.65,32.462,33.725,34.897,35.658,36.67,37.171,38.263,39.255,40.367,41.429,42.331,43.713,44.094,45.576,46.389,47.651,48.282,49.635,50.316,50.797,52.229,53.382,54.534,55.346,56.608,56.808,58.842,59.353,59.724,60.996,62.068,62.98,63.501,68.039,65.896,66.156,66.998,71.456,69.453,70.774,71.576,72.217,73.751,74.471,76.485,76.846,77.708,78.479,79.231,79.441,79.641,81.114,83.629,84.872,84.962,85.953,88.137,88.548,90.111,90.362,91.034,94.68
0.561,1.082,1.844,2.575,3.487,4.138,5.089,5.64,6.302,7.264,7.865,8.816,9.738,10.43,11.131,11.983,13.035,13.767,14.518,15.61,16.772,17.323,17.914,18.996,19.868,20.91,21.601,22.793,23.926,24.276,24.908,25.649,26.861,28.013,32.001,29.897,31.07,31.62,32.592,34.085,38.183,35.808,37.431,37.231,37.762,38.874,40.277,41.218,42,45.406,44.224,44.995,46.84,47.41,48.212,49.364,49.835,50.716,52.329,53.282,54.163,55.375,55.777,56.377,57.559,59.213,59.724,64.223,61.577,62.359,66.887,64.984,65.986,65.494,67.068,67.749,68.52,70.394,71.345,73.53,73.69,75.063,75.895,76.446,77.798,78.469,79.11,79.241,80.123,81.986,86.805,84.451,86.003,87.066,87.096,87.457,89.611,93.287,92.385,91.584
0.621,1.122,1.884,2.545,3.297,4.087,4.869,5.421,6.402,7.163,7.774,8.907,9.518,10.651,10.981,12.053,13.165,13.847,14.528,15.69,16.421,17.533,17.874,18.776,19.768,21.24,21.902,22.624,23.525,24.417,25.198,25.659,27.191,28.614,29.416,30.528,30.979,31.41,32.973,33.434,34.706,35.498,37.261,37.18,40.267,38.904,40.116,41.188,42.09,44.044,43.633,44.725,46.058,47.62,48.302,54.864,50.345,51.067,52.28,53.221,53.863,54.614,55.406,55.556,57.72,59.474,59.693,60.605,61.357,61.988,63.631,63.511,67.869,65.885,66.877,67.699,79.602,70.254,70.595,72.909,73.329,74.722,76.666,76.846,77.467,77.938,79.491,83.319,80.243,83.028,82.437,85.252,84.962,85.332,87.196,88.088,88.217,89.4,90.251,92.005
0.561,1.142,1.814,2.464,3.286,3.968,4.699,5.421,6.222,7.023,8.056,8.807,9.668,10.47,11.932,11.903,12.925,13.906,14.518,15.5,16.551,17.213,17.744,18.976,20.118,20.659,21.892,22.854,23.635,29.005,25.238,25.87,26.931,27.833,29.076,29.746,30.649,32.171,32.893,33.393,35.317,36.359,36.56,37.542,37.792,38.944,39.966,41.349,42.24,55.064,44.234,45.597,46.077,46.959,48.683,54.183,50.026,50.526,52.13,52.891,53.723,54.554,55.476,55.686,57.73,58.531,59.323,60.195,61.196,62.649,63.671,64.262,66.076,65.525,67.629,67.729,68.31,70.314,70.905,72.919,74.081,75.233,75.634,76.866,76.977,78.61,79.04,80.703,84.341,81.676,83.439,84.181,85.022,86.274,86.745,87.677,90.262,89.771,91.063,95.131
0.49,1.102,1.863,2.515,3.326,3.997,4.729,5.58,6.302,7.044,7.865,8.796,9.468,10.38,11.141,11.693,12.895,13.866,14.879,15.59,16.472,17.083,17.904,18.786,19.838,21.01,21.741,22.834,23.084,24.307,25.008,26.04,27.342,28.475,28.734,30.278,30.849,31.31,32.512,33.784,34.155,36.189,36.56,37.642,37.581,39.535,39.947,41.268,42.23,43.413,43.182,45.096,46.749,47.09,48.292,49.294,50.586,49.945,54.834,52.46,54.824,54.814,55.856,55.767,57.339,59.313,59.613,60.675,62.84,62.369,63.701,64.633,65.104,65.615,67.028,67.689,68.671,74.462,72.709,72.288,74.371,74.833,75.854,76.445,77.697,78.7,78.73,80.022,80.383,81.004,83.359,83.86,85.022,87.397,87.787,88.568,89.52,93.829,91.654,92.196
0.781,1.122,1.824,2.585,3.346,4.078,4.699,5.431,6.412,7.034,7.835,8.627,9.538,10.62,11.111,11.733,13.025,13.877,14.498,15.76,16.361,17.584,17.604,19.096,19.757,21.06,22.052,22.713,27.653,24.266,25.127,26.13,26.911,28.134,28.945,30.298,30.568,31.28,32.623,33.685,34.646,35.948,36.359,37.261,37.672,38.783,40.387,41.438,42.45,43.443,43.603,44.876,45.717,46.799,48.542,49.104,49.614,51.287,51.879,52.951,53.331,54.894,55.285,55.616,57.58,58.21,59.744,61.147,61.447,62.61,63.05,64.022,64.904,65.595,66.968,67.368,68.851,70.624,74.752,72.719,73.47,75.313,76.095,76.746,77.437,78.64,78.94,79.411,80.213,81.916,82.788,83.939,85.743,85.302,86.995,87.466,89.139,89.62,93.097,92.046
0.751,1.082,1.794,2.505,3.307,3.847,4.799,5.441,6.202,7.214,12.043,8.807,13.436,10.46,11.112,12.184,12.995,13.747,14.298,15.67,16.792,17.293,18.054,19.257,19.958,21.571,22.112,23.205,23.314,24.537,25.478,26.24,27.262,28.043,28.925,30.077,30.257,31.29,32.512,33.755,34.876,36.098,37.041,37.031,38.524,39.435,40.467,41.86,41.949,42.621,43.272,45.146,45.947,46.648,48.412,49.113,50.115,50.756,52.019,53.201,53.441,58.501,56.157,59.544,57.219,58.601,59.704,60.636,62.169,62.909,63.271,64.663,65.895,66.728,67.288,67.038,68.29,70.183,70.855,72.258,73.55,74.712,75.594,76.055,77.958,78.399,78.94,79.321,80.483,81.825,82.968,84.561,84.962,86.415,86.735,88.138,88.899,90.592,90.963,94.079
0.792,1.142,1.803,2.565,3.326,4.037,4.789,5.551,6.433,7.204,7.865,8.716,9.599,10.711,11.302,11.772,12.715,13.977,14.307,15.69,16.993,17.453,18.315,19.337,19.898,20.739,21.732,22.703,23.304,24.436,25.218,25.97,27.081,28.224,28.925,29.937,35.127,31.37,32.512,33.704,34.916,35.538,36.59,37.251,38.424,39.655,40.277,41.038,42,42.751,43.573,44.815,46.108,47.13,48.032,49.284,54.644,50.827,52.28,53.191,54.233,55.075,55.776,56.136,57.349,58.451,60.194,60.826,66.496,62.95,62.96,64.272,65.304,65.585,67.218,67.689,67.629,70.124,71.567,72.849,77.698,75.243,75.684,76.476,77.608,78.389,79.491,82.847,79.832,81.475,82.277,83.308,85.703,86.084,88.729,88.418,91.244,90.702,91.053,91.595
